"","Date","Pool","Number of Blocks","Percentage of Blocks"
"521",2010-06-14,"Unknown",172,100
"522",2010-06-15,"Unknown",161,100
"523",2010-06-16,"Unknown",184,100
"524",2010-06-17,"Unknown",142,100
"525",2010-06-18,"Unknown",146,100
"526",2010-06-19,"Unknown",150,100
"527",2010-06-20,"Unknown",150,100
"528",2010-06-21,"Unknown",185,100
"529",2010-06-22,"Unknown",154,100
"530",2010-06-23,"Unknown",156,100
"531",2010-06-24,"Unknown",187,100
"532",2010-06-25,"Unknown",169,100
"533",2010-06-26,"Unknown",150,100
"534",2010-06-27,"Unknown",159,100
"535",2010-06-28,"Unknown",178,100
"536",2010-06-29,"Unknown",152,100
"537",2010-06-30,"Unknown",169,100
"538",2010-07-01,"Unknown",182,100
"539",2010-07-02,"Unknown",211,100
"540",2010-07-03,"Unknown",167,100
"541",2010-07-04,"Unknown",212,100
"542",2010-07-05,"Unknown",166,100
"543",2010-07-06,"Unknown",179,100
"544",2010-07-07,"Unknown",169,100
"545",2010-07-08,"Unknown",156,100
"546",2010-07-09,"Unknown",151,100
"547",2010-07-10,"Unknown",199,100
"548",2010-07-11,"Unknown",198,100
"549",2010-07-12,"Unknown",179,100
"550",2010-07-13,"Unknown",659,100
"551",2010-07-14,"Unknown",692,100
"552",2010-07-15,"Unknown",578,100
"553",2010-07-16,"Unknown",624,100
"554",2010-07-17,"Unknown",505,100
"555",2010-07-18,"Unknown",173,100
"556",2010-07-19,"Unknown",172,100
"557",2010-07-20,"Unknown",174,100
"558",2010-07-21,"Unknown",181,100
"559",2010-07-22,"Unknown",207,100
"560",2010-07-23,"Unknown",176,100
"561",2010-07-24,"Unknown",194,100
"562",2010-07-25,"Unknown",189,100
"563",2010-07-26,"Unknown",231,100
"564",2010-07-27,"Unknown",243,100
"565",2010-07-28,"Unknown",166,100
"566",2010-07-29,"Unknown",159,100
"567",2010-07-30,"Unknown",180,100
"568",2010-07-31,"Unknown",182,100
"569",2010-08-01,"Unknown",203,100
"570",2010-08-02,"Unknown",239,100
"571",2010-08-03,"Unknown",242,100
"572",2010-08-04,"Unknown",227,100
"573",2010-08-05,"Unknown",243,100
"574",2010-08-06,"Unknown",218,100
"575",2010-08-07,"Unknown",147,100
"576",2010-08-08,"Unknown",155,100
"577",2010-08-09,"Unknown",199,100
"578",2010-08-10,"Unknown",190,100
"579",2010-08-11,"Unknown",191,100
"580",2010-08-12,"Unknown",233,100
"581",2010-08-13,"Unknown",217,100
"582",2010-08-14,"Unknown",215,100
"583",2010-08-15,"Unknown",281,100
"584",2010-08-16,"Unknown",207,100
"585",2010-08-17,"Unknown",147,100
"586",2010-08-18,"Unknown",129,100
"587",2010-08-19,"Unknown",133,100
"588",2010-08-20,"Unknown",135,100
"589",2010-08-21,"Unknown",193,100
"590",2010-08-22,"Unknown",173,100
"591",2010-08-23,"Unknown",212,100
"592",2010-08-24,"Unknown",213,100
"593",2010-08-25,"Unknown",215,100
"594",2010-08-26,"Unknown",216,100
"595",2010-08-27,"Unknown",210,100
"596",2010-08-28,"Unknown",171,100
"597",2010-08-29,"Unknown",170,100
"598",2010-08-30,"Unknown",162,100
"599",2010-08-31,"Unknown",149,100
